rank,gene_symbol,ensembl_id,log2FC,pvalue,padj
152,ATP5MC3,ENSG00000154518,-0.5271745133114873,0.004505726330062539,0.09376858698412506
153,CD24,ENSG00000272398,0.6162264041010367,0.004510089219921765,0.09376858698412506
154,AIF1,ENSG00000204472,-4.734969504043169,0.004672732543496009,0.09651923520039483
155,CD52,ENSG00000169442,-3.4177929044064768,0.004725289185290714,0.09697512837683717
156,ENSG00000262202,ENSG00000262202,-2.0937646522903464,0.004820146210966322,0.09823624968927111
157,EDNRB,ENSG00000136160,-1.843690442456945,0.004867753150758101,0.09823624968927111
158,ABLIM1,ENSG00000099204,0.7308212992441655,0.004886221466213357,0.09823624968927111
159,TACSTD2,ENSG00000184292,0.34077595656538384,0.004910268374911697,0.09823624968927111
160,UQCRQ,ENSG00000164405,-0.46022165873373355,0.005249978260942657,0.1037326997644811
161,RPL26,ENSG00000161970,-0.2720707483901069,0.0052502246658539635,0.1037326997644811
162,S100A14,ENSG00000189334,-0.6093224342759438,0.005516429547544099,0.10685334531034114
163,ENO1,ENSG00000074800,-0.3821971649906117,0.005611302860188341,0.10685334531034114
164,DCTN6-DT,ENSG00000271869,-1.6562117561211815,0.005611872825699603,0.10685334531034114
165,TESC,ENSG00000088992,-15.273469717939427,0.005643307768669384,0.10685334531034114
166,TNFSF14,ENSG00000125735,-15.115429227799993,0.005643307768669384,0.10685334531034114
167,GPM6A,ENSG00000150625,-14.941524238276724,0.005643307768669384,0.10685334531034114
168,CLDN5,ENSG00000184113,-15.083670964498586,0.005643307768669384,0.10685334531034114
169,ALDOA,ENSG00000149925,-0.4153086428533644,0.005893953942584865,0.11093886089563582
170,SLC25A6,ENSG00000169100,-0.3223770765717203,0.00619501650473021,0.11535901544910115
171,AFF3,ENSG00000144218,-1.66521264687221,0.0062205338432426436,0.11535901544910115
172,TMEM163,ENSG00000152128,-1.1568864524958582,0.0062413361349901424,0.11535901544910115
173,CD14,ENSG00000170458,-0.8154860606097438,0.006273847743695222,0.11535901544910115
174,PRR4,ENSG00000111215,-3.894167017847299,0.006394509147326621,0.1163540672736518
175,MGST3,ENSG00000143198,-0.4627560740307379,0.006401119702260002,0.1163540672736518
176,C1orf56,ENSG00000143443,-1.0020712576453668,0.006682055260554994,0.12038936610138752
177,DAB2,ENSG00000153071,-0.9933694325469675,0.006698811002812195,0.12038936610138752
178,MT1G,ENSG00000125144,-0.5057386795696108,0.0071741318886925035,0.12820737942657784
179,CD59,ENSG00000085063,-0.3461906022321411,0.0072902396779435715,0.12955448276837153
180,YBX1,ENSG00000065978,-0.36377756000329964,0.007408475617280954,0.13092422743650398
181,RTKN2,ENSG00000182010,-14.659164784269166,0.007450128869670368,0.1309329278144831
182,ADAMTS1,ENSG00000154734,-2.513811343392311,0.008414899158649666,0.1470757924377175
183,TACC2,ENSG00000138162,-0.7264823900056314,0.008536001886664679,0.14760200563472714
184,SLC11A1,ENSG00000018280,-2.193074772038044,0.008537808562335679,0.14760200563472714
185,PID1,ENSG00000153823,-1.1298351865372867,0.008586429080576538,0.14764016705575117
186,TXNIP,ENSG00000265972,-0.5559466554164275,0.008828056743996587,0.1509787553906083
187,DHCR24,ENSG00000116133,-0.4007463767674325,0.008972120048348792,0.15262199932512036
188,FGGY,ENSG00000172456,-0.7339478223459206,0.009083529872597118,0.15369525811027357
189,ACSL1,ENSG00000151726,-0.798468002232571,0.00932188357797424,0.15689371249489975
190,CLEC2D,ENSG00000069493,-3.1975134220435493,0.009414750817005524,0.15762274920470826
191,INSIG1,ENSG00000186480,-0.8116211762165397,0.009486021182759733,0.15798446797046448
192,HMCN1,ENSG00000143341,4.18330011385053,0.009694378545550506,0.15828877484786155
193,CXCR4,ENSG00000121966,-15.14787314706101,0.009786171978829342,0.15828877484786155
194,RWDD3-DT,ENSG00000226026,-15.727539246272894,0.009786171978829342,0.15828877484786155
195,LINC00513,ENSG00000233559,-15.515051551533588,0.009786171978829342,0.15828877484786155
196,NFATC2,ENSG00000101096,-0.6300068014490465,0.009786657346012589,0.15828877484786155
197,ENSG00000235584,ENSG00000235584,-2.3231072013277574,0.009802857165994569,0.15828877484786155
198,UQCRH,ENSG00000173660,-0.4252957530575464,0.009855823267326288,0.1583402717846713
199,ID4,ENSG00000172201,-0.6438335868722871,0.010075337599775518,0.16105351208485388
200,SYNE1,ENSG00000131018,-0.6077403798906733,0.0106538911111873,0.16945013812343399
201,TUBA4A,ENSG00000127824,-1.2770262467216562,0.010902571343927745,0.1725426838061401
202,MRC1,ENSG00000260314,-1.5954076300879256,0.011124070233708956,0.1751765713536049
203,ALDH2,ENSG00000111275,-0.48189266333503045,0.011682498028622916,0.18306416861600738
204,PLOD2,ENSG00000152952,-0.3582525012087241,0.012093452832505127,0.18857486990293532
205,LINC00511,ENSG00000227036,2.042101285847155,0.012350659804707077,0.18985648259457943
206,RAB31,ENSG00000168461,0.8257948458167981,0.012448855068182014,0.18985648259457943
207,ANPEP,ENSG00000166825,2.2508555128518126,0.012460974997521732,0.18985648259457943
208,CSF2,ENSG00000164400,-2.0105981630969705,0.012681846115696916,0.18985648259457943
209,CYP2F1,ENSG00000197446,1.4226299512129654,0.01270466341731618,0.18985648259457943
210,PLXDC2,ENSG00000120594,-15.502179056528117,0.012793470688560767,0.18985648259457943
211,CD53,ENSG00000143119,-15.137257982740401,0.012793470688560767,0.18985648259457943
212,STC1,ENSG00000159167,-15.938551143050361,0.012793470688560767,0.18985648259457943
213,CD163,ENSG00000177575,-15.686689313374469,0.012793470688560767,0.18985648259457943
214,CXCL9,ENSG00000138755,14.282358022953968,0.012951542509595642,0.18985648259457943
215,IGLV3-1,ENSG00000211673,16.265103038703625,0.012951542509595642,0.18985648259457943
216,IGKV1-39,ENSG00000242371,15.974479000024791,0.012951542509595642,0.18985648259457943
217,LINC01019,ENSG00000248118,13.62678376043344,0.012951542509595642,0.18985648259457943
